URL,Abstract,NumCited,"Author, Year, Source Information",Title
http://onlinelibrary.wiley.com/doi/10.1002/j.2050-0416.2001.tb00083.x/abstract,"...  and top pressure are key factors for maintaining a consistent quality of lager  beer .  ...  Results shoiv 
that temperature increases  fermentation   rate  and the production ratio and final concentration  ... 
controls the production  rate  and final concentration of ester by limiting yeast  growth .  ...  
",Cited by 57,"S Landaud, E Latrille, G Corrieu - Journal of the Institute of  …, 2001 - Wiley Online Library",Top pressure and temperature control the fusel alcohol/ester ratio through yeast growth in beer fermentation
http://www.sciencedirect.com/science/article/pii/S1359511307001146,"...  that  beer  of good quality was produced using brewer's yeast immobilized in LentiKats ® particles 
[17].  ...  Cell concentrations measured in the obtained green  beers  are presented in Fig. 2. Extension 
of  fermentation  time led to a considerable increase in cell concentrations in the  ...  
",Cited by 55,"D Bezbradica, B Obradovic, I Leskosek-Cukalovic… - Process  …, 2007 - Elsevier",Immobilization of yeast cells in PVA particles for beer fermentation
http://onlinelibrary.wiley.com/doi/10.1002/j.2050-0416.1998.tb00970.x/abstract,"...  The lowest amount of yeast  growth  was observed using the glass Siran8 carriers. 
A  beer  flavour profile most similar to traditionally brewed  beers  was obtained 
using these immobilised yeast for primary  fermentation .  ...  
",Cited by 110,"PH Pilkington, A Margaritis… - Journal of the Institute …, 1998 - Wiley Online Library",Fundamentals of immobilised yeast cells for continuous beer fermentation: a review
http://onlinelibrary.wiley.com/doi/10.1002/jctb.1582/full,"...   fermentation  and fermentations for the production of alcohol-free or low-alcohol  beers  (for recent  ... 
without reference to a footnote, the data correspond to the analysis of green  beer ).  ...  that higher 
alcohol levels were mostly comparable to free-cell batch  fermentation  and regarding  ...  
",Cited by 359,A Pandey - 2001 - Asiatech Publishers,Primary beer fermentation by immobilised yeast—a review on flavour formation and control strategies
http://onlinelibrary.wiley.com/doi/10.1021/bp049766j/full,"...  When the maximum  rates  of fluorescence changes (dF/dt max ) were plotted against X  ...  biofilm 
on spent grains was proved also during substrate-sufficient  beer   fermentation  where X  ...  Instead, 
the changes of the immobilized biomass  growth   rate  (R grw ) were expressed through  ...  
",Cited by 94,"R Willaert, VA Nedovic - Journal of Chemical Technology and  …, 2006 - Wiley Online Library",Growth model and metabolic activity of brewing yeast biofilm on the surface of spent grains: a biocatalyst for continuous beer fermentation
http://onlinelibrary.wiley.com/doi/10.1002/j.2050-0416.1994.tb00830.x/abstract,"...  of the four fusel alcohols and three amino acids along with the  growth  data.  ...  batch experiments 
were conducted to obtain data needed to fit the proposed  beer   fermentation  model.  ...  each 
experiment, and constant temperature data were obtained every 12 hours for  ferment  ation at  ...  
",Cited by 36,"T Brányik, AA Vicente, G Kuncová… - Biotechnology  …, 2004 - Wiley Online Library",A flavour model for beer fermentation
http://link.springer.com/article/10.1007/s10529-006-9132-5,"...  and simple way to separate most of the yeast cells from green  beer  at the  ...  flocculation causes 
sluggish, so-called ''hanging'', fermentations, which might lead to  beers  with severe off  ...  Some of 
these alterations have beneficial effects on the yeast  fermentation  performance but many  ...  
",Cited by 47,"DA Gee, WF Ramirez - Journal of the Institute of Brewing, 1994 - Wiley Online Library",Immobilized yeast cell systems for continuous fermentation applications
http://onlinelibrary.wiley.com/doi/10.1021/bp980109z/full,"...  Little extract is consumed in this stage, and the wort/ beer  with reduced nitrogen is then fed to 
a packed bed immobilized  ...  First, there is no distinct “ growth  phase” as in a batch  fermentation ; 
unlike in the batch  fermentation , the wort, when it enters the reactor, is  fermented  by a  ...  
",Cited by 166,"PJ Verbelen, DP De Schutter, F Delvaux… - Biotechnology  …, 2006 - Springer",Immobilized yeast bioreactor systems for continuous beer fermentation
http://onlinelibrary.wiley.com/doi/10.1021/bp050012u/full,"...  most probably responsible for most of the alterations in the flavor of  beers  produced in  ...  lipid 
synthesis giving rise to altered membrane composition and thus to  fermentation  problems and  ... 
the amount of α-acetolactate (75), fusel alcohols, esters, and acetaldehyde in  beer  (24) by  ...  
",Cited by 52,"M Tata, P Bower, S Bromberg… - Biotechnology  …, 1999 - Wiley Online Library",Continuous beer fermentation using immobilized yeast cell bioreactor systems
http://onlinelibrary.wiley.com/doi/10.1002/jbmte.390010406/full,"...  standard taper ground glass sleeves to fit into the top openings of the  ferment  or.  ...  photrometer 
directly to an optical density value corrected for experimental deviations from the  Beer -Lambert 
Law  ...  For each run a sample of the final  fermentation  broth was frozen and analyzed later  ...  
",Cited by 817,"R Luedeking, EL Piret - Journal of Biochemical and  …, 1959 - Wiley Online Library",A kinetic study of the lactic acid fermentation. Batch process at controlled pH
http://onlinelibrary.wiley.com/doi/10.1002/j.2050-0416.1994.tb00819.x/abstract,"...  for 19°C, these small variations may introduce major differences in the flavour of the  beer .  ...  effect 
was eliminated by adjusting the pH to a constant values throughout the  fermentation  process.  ... 
initial pH of the medium, 5.02; the pH at the moment of maximum  growth   rate , 4.00, and  ...  
",Cited by 35,"AI García, LA García, M Díaz - Journal of the Institute of Brewing, 1994 - Wiley Online Library",Modelling of diacetyl production during beer fermentation
http://aem.asm.org/content/62/9/3187.short,"...  The studies done have mainly been focused on  beer   fermentation , in which the media contain  ... 
amino acid (such as glutamic acid) stimulated  growth  and decreased the  fermentation  time.  ...  The 
maximum specific  growth   rate , max (h 1), was calculated by linear regression in two  ...  
",Cited by 299,"E Albers, C Larsson, G Lidén, C Niklasson… - Applied and  …, 1996 - Am Soc Microbiol",Influence of the nitrogen source on Saccharomyces cerevisiae anaerobic growth and product formation.
http://www.sciencedirect.com/science/article/pii/S0378475498001475,"...  equation(7). in which μ x 0 is the maximum specific  growth   rate .  ...  production  rate  must take into 
account both processes; one of them is the appearance  rate , taken as  ...  are, in general, of the same 
order of magnitude of those previously reported for  beer   fermentation  at laboratory  ...  
",Cited by 69,"B de Andres-Toro, JM Giron-Sierra… - …  and Computers in  …, 1998 - Elsevier",A kinetic model for beer production under industrial operational conditions
http://link.springer.com/article/10.1007/BF02851182,"...  in the industry) with 0.15 m high, 100 liter lower receptor cone to  ferment  80 liters of  ...  concentration 
showed increasing  rate  and depended on the temperature: increasing the temperature resulted 
in faster  growth .  ...  We propose the following model for industrial  beer   fermentation .  ...  
",Cited by 53,"B Andres-Toro, JM Giron-Sierra… - Journal of Zhejiang  …, 2004 - Springer",Multiobjective optimization and multivariable control of the beer fermentation process with the use of evolutionary algorithms
http://onlinelibrary.wiley.com/doi/10.1002/bit.260310308/full,"...  in industrial  beer  fermentations to operate at an experimentally determined optimal  growth 
temperature for  ...  The mathematical model of  beer   fermentation  used was based on the work of 
Enga  ...  The  fermenting  medium was assumed to contain three sugars, glucose, maltose, and  ...  
",Cited by 39,"DA Gee, WF Ramirez - Biotechnology and bioengineering, 1988 - Wiley Online Library",Optimal temperature control for batch beer fermentation
http://link.springer.com/article/10.1007/s00253-008-1779-5,"...  the flavour compounds have been recalculated based on the normal ethanol percentage in lager 
 beers  (=5% v  ...  Bitterness of the  beer  is an important quality parameter  ...  The  fermentation  process 
has an important influence on the residual concentration in  beer  because these acids  ...  
",Cited by 40,"PJ Verbelen, TML Dekoninck, SMG Saerens… - Applied microbiology  …, 2009 - Springer",Impact of pitching rate on yeast fermentation performance and beer flavour
http://onlinelibrary.wiley.com/doi/10.1002/bit.260250109/full,"...  New processes are under development whereby ethanol is selectively removed from the 
 fermenting  broth to eliminate ethanol inhibition effects.  ...  Fermentor + Bleed: Dilute Ethonal  Beer 
with Concent rot ed %gar  ...  Fig. 4. Limiting bleed  rate  in continuous vacuum  fermentation .  ...  
",Cited by 344,"B Maiorella, HW Blanch… - Biotechnology and  …, 1983 - Wiley Online Library",By‐product inhibition Effects on ethanolic fermentation by saccharomyces cerevisiae
http://repositorium.sdum.uminho.pt/handle/1822/2567,"...  5. Flavor and aroma compounds of two lager  beers  produced by the same yeast strain in  ...  6. Kronlöf, 
J., and Linko, M. Production of  beer  using immobilized yeast encoding a  ...  and Kobayashi, H. Effects 
of oxygen supply on yeast  growth  and metabolism in continuous  fermentation .  ...  
",Cited by 38,"T Brányik, AA Vicente, JM Cruz, JA Teixeira - 2004 - repositorium.sdum.uminho.pt",Continuous primary fermentation of beer with yeast immobilized on spent grains: the effect of operational conditions
http://onlinelibrary.wiley.com/doi/10.1002/j.2050-0416.1982.tb04078.x/abstract,"...  Results  Growth  and  fermentation .—Under the experimental conditions employed here, yeast 
NCYC 240 fails to  ferment  maltotriosc completely  ...  1. Yeast  growth  and fall ofspecific gravity during 
 fermentation  of 1.040 all malt wort by NCYC 240  ...  production of ethyl acetate in the  beer .  ...  
",Cited by 83,"PA Thurston, DE Quain, RS Tubb - Journal of the Institute of  …, 1982 - Wiley Online Library",Lipid metabolism and the regulation of volatile ester synthesis in Saccharomyces cerevisiae
http://www.sciencedirect.com/science/article/pii/S0734975007001000,"...  4. This microorganism was originally discovered in  fermenting  sugar-rich plant saps, eg in the  ... 
Since it can effectively  ferment  only glucose in the hydrolysate of starch materials, not other  ...  On 
the other hand, when continuous ethanol  fermentation  is operated at a low dilution  rate   ...  
",Cited by 679,"FW Bai, WA Anderson, M Moo-Young - Biotechnology advances, 2008 - Elsevier",Ethanol fermentation technologies from sugar and starch feedstocks
http://www.sciencedirect.com/science/article/pii/S0740002003001072,"...  of major importance for the brewing industry as it affects  fermentation  productivity and  beer  quality 
in  ...  In the  fermentation  of wort by S. cerevisiae cells immobilized in calcium alginate gel beads, 
in  ...  to free cells, where the striking feature was the decrease of  growth   rate  when the  ...  
",Cited by 425,"Y Kourkoutas, A Bekatorou, IM Banat, R Marchant… - Food  …, 2004 - Elsevier",Immobilization technologies and support materials suitable in alcohol beverages production: a review
http://www.sciencedirect.com/science/article/pii/0032959294800731,"...  LA & Heinish, B., Gas chromatography of volatiles in  beer  during brewing,  fermentation  and 
storage  ...  Kamigama, S. & Nakagaya, A., Volatile components in commercial  beers  and some factors  ... 
Delente, J., Akin, C., Krabbe, E. & Ladenburg, K., Carbon dioxide in  fermenting   beer .  ...  
",Cited by 24,"AI Garcia, LA García, M Díaz - Process biochemistry, 1994 - Elsevier",Fusel alcohols production in beer fermentation processes
http://www.sciencedirect.com/science/article/pii/S016816560500622X,"...  In most production systems, the substrate feed  rate  is used to control  growth  and product formation 
 rates  of the organisms. A general objective of process control in this field is to guarantee that 
the process will yield the desired amount of product at the end of the cultivation.  ...  
",Cited by 49,"M Jenzsch, R Simutis, A Luebbert - Journal of biotechnology, 2006 - Elsevier",Generic model control of the specific growth rate in recombinant Escherichia coli cultivations
http://www.sciencedirect.com/science/article/pii/S014102299800146X,"...  2.2. Stain and  growth  conditions. A bottom- fermenting  Brewer's yeast strain of Saccharomyces 
cerevisiae var.  ...  2.3. Limited  fermentation . Production of alcohol-free  beer  was performed by a 
limited  fermentation  using a packed-bed reactor, operated under downflow  ...  
",Cited by 50,"MFM Van Iersel, B Van Dieren, FM Rombouts… - Enzyme and Microbial  …, 1999 - Elsevier",Flavor formation and cell physiology during the production of alcohol-free beer with immobilized Saccharomyces cerevisiae
https://books.google.com/books?hl=en&lr=&id=CW8vBQAAQBAJ&oi=fnd&pg=PP1&dq=+beer+fermentation+growth+rate&ots=iWjEplrSXu&sig=o1Qsz31SfwZZfAAKRSFVm874f-E,"...  the choice of nitrogen source 101 Minerals 102 Chelators 104  Growth  factors 104  ...  of contents 
from a fermenter 198 Testing new fermenters 198 Other  fermentation  vessels 199  ...  Liquids Pressure 
measurement Pressure control Safety valves Agitator shaft power  Rate  of stirring  ...  
",Cited by 907,"PF Stanbury, A Whitaker, SJ Hall - 2013 - books.google.com",Principles of fermentation technology
http://link.springer.com/chapter/10.1007/978-1-4615-0629-4_22,"...  T-2, HT-2, DAS, ZEN, aflatoxins, ochratoxin A, and fumonisins have been detected in  beers  at 
trace  ...  1983) noted that the use of FHB infected badey results in an increase in  beer  pH and  ...  et a!. 
(1997) showed an increase in DON within the first 20 hours of  fermentation , which then  ...  
",Cited by 44,"CE Wolf-Hall, PB Schwarz - Mycotoxins and Food Safety, 2002 - Springer",Mycotoxins and fermentation-beer production
http://www.sciencedirect.com/science/article/pii/S014102290000140X,"...  A bottom- fermenting  brewer's yeast strain of S. cerevisiae var.  ...  Cells were harvested during 
production of non-alcohol  beer  and incubated in wort. Flavor production  rates  were measured 
during anaerobic  fermentation  at 12°C, 1-propanol (◊), isobutanol (■), and isoamyl alcohol  ...  
",Cited by 46,"MFM Van Iersel, E Brouwer–Post, FM Rombouts… - Enzyme and microbial  …, 2000 - Elsevier",Influence of yeast immobilization on fermentation and aldehyde reduction during the production of alcohol-free beer
http://www.sciencedirect.com/science/article/pii/S0168160507006617,"...  Among the  fermenting  microorganisms, yeasts are the most important group of microorganisms 
that  ...  recent years, there has been a preference by winemakers to  ferment  white wines  ...  Similarly, 
 beer   fermentation  occurs at different temperatures depending on the type of  beer ; ale  ...  
",Cited by 126,"C Belloch, S Orlic, E Barrio, A Querol - International journal of food  …, 2008 - Elsevier",Fermentative stress adaptation of hybrids within the Saccharomyces sensu stricto complex
http://onlinelibrary.wiley.com/doi/10.1002/j.2050-0416.1952.tb02675.x/abstract,"...  It may therefore be considered an undesirable wild yeast for naturally conditioned  beers .  ... 
10-day-old culture from  beer , dram stained x 1400  ...  1035), the yeast was found to give a slightly 
faster  fermentation  for the first 20-30 hr.; it then drew away rapidly and  fermented  to a much  ...  
",Cited by 72,"BJ Andrews, RB Gilliland - Journal of the Institute of Brewing, 1952 - Wiley Online Library",SUPER‐ATTENUATION OF BEER: A STUDY OF THREE ORGANISMS CAPABLE OF CAUSING ABNORMAL ATTENUATIONS
http://onlinelibrary.wiley.com/doi/10.1002/j.2050-0416.2002.tb00569.x/abstract,"...  The desired degree of apparent attenuation for stage one of primary  beer   fermentation , ie 
70–80%, was  ...  during the main fer- mentation, which could strongly influence the flavour profile 
of the  beer .  ...  5). As a result of the intensive biomass  growth  in the ALR, high levels of diacetyl  ...  
",Cited by 49,"T Brányik, A Vicente, JM Cruz… - Journal of the Institute of  …, 2002 - Wiley Online Library",Continuous primary beer fermentation with brewing yeast immobilized on spent grains
http://onlinelibrary.wiley.com/doi/10.1002/bit.260220713/full,"...   fermentation  using immobilized cells so far published, has related only to  fermented  beverages. 
On continuous  beer  production the more important reports are of Comeu et al  ...  Chose and 
Bandyopadhyay' carried out continuous ethanol  fermentation  in an immobilized yeast cell  ...  
",Cited by 112,"TK Ghose, KK Bandyopadhyay - Biotechnology and  …, 1980 - Wiley Online Library",Rapid ethanol fermentation in immobilized yeast cell reactor
http://www.tandfonline.com/doi/abs/10.1080/08905439609549899,"...  39 NOMENCLATURE H max = maximum specific  growth   rate  (h'1). The course of  fermentation 
was divided into short intervals.  ...  Microbiological aspect of traditional manufacture of busaa, a 
Kenyan maize  beer . Chem. Mikrobiol.  ...   beers . Progress in Industrial Microbiol (Ed.  ...  
",Cited by 36,"S Konlani, JP Delgenes, R Moletta, A Traore… - Food  …, 1996 - Taylor & Francis",Isolation and physiological characterization of yeasts involved in sorghum beer production
http://www.sciencedirect.com/science/article/pii/S1389172307700877,"...  In low-malt  beer   fermentation , nitrogen sources are usually depleted in 1–2 d and thereafter, 
cell  ...  and Table 1 shows the values of the parameters studied in the serial-repitching  fermentation .  ... 
With the decrease in cell  growth   rate , it was shown that the final FAN concentration  ...  
",Cited by 19,"M Kobayashi, H Shimizu, S Shioya - Journal of bioscience and  …, 2007 - Elsevier",Physiological analysis of yeast cells by flow cytometry during serial-repitching of low-malt beer fermentation
http://onlinelibrary.wiley.com/doi/10.1002/bit.260190804/full,"...  Sigmamotor Model TM-2.0-2) were used to control the flow of  fermented   beer  from the  ...  a result, 
more cells were lost in the overflow stream than produced during  fermentation  and the  ...  in the 
vacuum- recycle system was the ability of the vacuum system to  ferment  a concentrated  ...  
",Cited by 374,"GR Cysewski, CR Wilke - Biotechnology and Bioengineering, 1977 - Wiley Online Library",Rapid ethanol fermentations using vacuum and cell recycle
http://www.sciencedirect.com/science/article/pii/S0308814603006034,"...  the higher concentration of higher alcohols (fusel oils) observed in finished  beer  although 
practically no  ...  that the lower levels found for higher alcohols in the  beers   fermented  by the  ...  The 
same  fermentation  conditions may influence the sulfur dioxide and acetaldehyde levels (Fig.  ...  
",Cited by 49,"LF Guido, PG Rodrigues, JA Rodrigues, CR Goncalves… - Food chemistry, 2004 - Elsevier",The impact of the physiological condition of the pitching yeast on beer flavour stability: an industrial approach
http://aem.asm.org/content/69/9/5228.short,"...  significantly increased concentrations of isoamyl acetate and ethyl acetate in the  beers  produced.  ... 
production strategies and/or new yeast strains, allowing further optimization of  beer  flavor profiles  ... 
of volatile compounds produced by ATF deletion strains after 36 h of  fermentation .  ...  
",Cited by 194,"KJ Verstrepen, SDM Van Laere… - Applied and  …, 2003 - Am Soc Microbiol","Expression levels of the yeast alcohol acetyltransferase genes ATF1, Lg-ATF1, and ATF2 control the formation of a broad range of volatile esters"
http://onlinelibrary.wiley.com/doi/10.1002/bit.260190414/full,"...  fermentor to remove the last traces of sugar and alcohol from spent  beer , the latter  ...  One obvious 
process improvement would be to use thermotolerant yeasts that can  ferment  at temperatures 
of  ...  The heat of  fermentation  in this process is used directly for distilling off alcohol, unlike  ...  
",Cited by 135,"A Ramalingham, RK Finn - Biotechnology and Bioengineering, 1977 - Wiley Online Library",The vacuferm process: a new approach to fermentation alcohol
http://www.tandfonline.com/doi/abs/10.2753/MIS0742-1222230207,"...   Beer  can be distinguished by the type of yeast and the temperature of  fermentation .  ...  Ratings might 
turn out to be “overly erudite” in the sense that consumers might  rate   beers  based on  ...  Consumers 
who hated a  beer  but thought that it was a well-done ex- ample of its style would  ...  
",Cited by 562,"EK Clemons, GG Gao, LM Hitt - Journal of Management  …, 2006 - Taylor & Francis",When online reviews meet hyperdifferentiation: A study of the craft beer industry
http://onlinelibrary.wiley.com/doi/10.1002/j.2050-0416.2008.tb00299.x/abstract,"...  Since the formation of organic acids is proportionate to  fermentation  intensity, its control can be 
achieved by equilibrating the intensity and duration of the  ...  Carbonyl compounds  Beers  made from 
the same wort and yeast strain in continuous  beer  fermentations showed  ...  
",Cited by 51,"T Brányik, AA Vicente, P Dostálek… - Journal of the Institute  …, 2008 - Wiley Online Library",A review of flavour formation in continuous beer fermentations
